t=2026-03-29T21:48:25+0100 lvl=info msg="no configuration paths supplied"
t=2026-03-29T21:48:25+0100 lvl=info msg="using configuration at default config path" path=C:\\Users\\chenr\\AppData\\Local/ngrok/ngrok.yml
t=2026-03-29T21:48:25+0100 lvl=info msg="open config file" path=C:\\Users\\chenr\\AppData\\Local\\ngrok\\ngrok.yml err=nil
t=2026-03-29T21:48:25+0100 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-03-29T21:48:25+0100 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-03-29T21:48:26+0100 lvl=eror msg="failed to reconnect session" obj=tunnels.session err="failed to send authentication request: failed to fetch CRL. errors encountered: Get \"http://crl.ngrok-agent.com/ngrok.crl\": read tcp [2001:818:df37:7000:38d1:e7dd:3e1a:7a98]:65035->[2600:9000:2134:c000:8:ba10:9900:93a1]:80: wsarecv: An existing connection was forcibly closed by the remote host."
t=2026-03-29T21:48:26+0100 lvl=info msg="update available" obj=updater
t=2026-03-29T21:48:26+0100 lvl=eror msg="failed to reconnect session" obj=tunnels.session err="failed to send authentication request: failed to fetch CRL. errors encountered: Get \"http://crl.ngrok-agent.com/ngrok.crl\": read tcp [2001:818:df37:7000:38d1:e7dd:3e1a:7a98]:65037->[2600:9000:2134:c000:8:ba10:9900:93a1]:80: wsarecv: An existing connection was forcibly closed by the remote host."
t=2026-03-29T21:48:27+0100 lvl=eror msg="failed to reconnect session" obj=tunnels.session err="failed to send authentication request: failed to fetch CRL. errors encountered: Get \"http://crl.ngrok-agent.com/ngrok.crl\": read tcp [2001:818:df37:7000:38d1:e7dd:3e1a:7a98]:65039->[2600:9000:2134:c000:8:ba10:9900:93a1]:80: wsarecv: An existing connection was forcibly closed by the remote host."
t=2026-03-29T21:48:29+0100 lvl=eror msg="failed to reconnect session" obj=tunnels.session err="failed to send authentication request: failed to fetch CRL. errors encountered: Get \"http://crl.ngrok-agent.com/ngrok.crl\": read tcp [2001:818:df37:7000:38d1:e7dd:3e1a:7a98]:65041->[2600:9000:2134:c000:8:ba10:9900:93a1]:80: wsarecv: An existing connection was forcibly closed by the remote host."
t=2026-03-29T21:48:34+0100 lvl=eror msg="failed to reconnect session" obj=tunnels.session err="failed to send authentication request: failed to fetch CRL. errors encountered: Get \"http://crl.ngrok-agent.com/ngrok.crl\": read tcp [2001:818:df37:7000:38d1:e7dd:3e1a:7a98]:65043->[2600:9000:2134:c000:8:ba10:9900:93a1]:80: wsarecv: An existing connection was forcibly closed by the remote host."
t=2026-03-29T21:48:42+0100 lvl=eror msg="failed to reconnect session" obj=tunnels.session err="failed to send authentication request: failed to fetch CRL. errors encountered: Get \"http://crl.ngrok-agent.com/ngrok.crl\": read tcp [2001:818:df37:7000:38d1:e7dd:3e1a:7a98]:65045->[2600:9000:2134:c000:8:ba10:9900:93a1]:80: wsarecv: An existing connection was forcibly closed by the remote host."
t=2026-03-29T21:48:58+0100 lvl=eror msg="failed to reconnect session" obj=tunnels.session err="failed to send authentication request: failed to fetch CRL. errors encountered: Get \"http://crl.ngrok-agent.com/ngrok.crl\": read tcp [2001:818:df37:7000:38d1:e7dd:3e1a:7a98]:65047->[2600:9000:2134:c000:8:ba10:9900:93a1]:80: wsarecv: An existing connection was forcibly closed by the remote host."
t=2026-03-29T21:49:28+0100 lvl=info msg="client session established" obj=tunnels.session
t=2026-03-29T21:49:28+0100 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-03-29T21:49:28+0100 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:3000 url=https://eared-shenika-overprolific.ngrok-free.dev
t=2026-03-29T21:50:49+0100 lvl=info msg="join connections" obj=join id=92f47b780d69 l=[::1]:3000 r=[2001:818:df37:7000:38d1:e7dd:3e1a:7a98]:62479
t=2026-03-29T21:50:49+0100 lvl=info msg="join connections" obj=join id=a7784edf488b l=[::1]:3000 r=[2001:818:df37:7000:38d1:e7dd:3e1a:7a98]:62479
t=2026-03-29T21:50:49+0100 lvl=info msg="join connections" obj=join id=c815b3dd6c3d l=[::1]:3000 r=[2001:818:df37:7000:38d1:e7dd:3e1a:7a98]:62479
t=2026-03-29T21:50:49+0100 lvl=info msg="join connections" obj=join id=d4801775295b l=[::1]:3000 r=[2001:818:df37:7000:38d1:e7dd:3e1a:7a98]:62479
t=2026-03-29T21:50:49+0100 lvl=info msg="join connections" obj=join id=1c09962dab2b l=[::1]:3000 r=[2001:818:df37:7000:38d1:e7dd:3e1a:7a98]:62479
t=2026-03-29T21:50:49+0100 lvl=info msg="join connections" obj=join id=ef566668d8b3 l=[::1]:3000 r=[2001:818:df37:7000:38d1:e7dd:3e1a:7a98]:62479
t=2026-03-29T21:50:49+0100 lvl=info msg="join connections" obj=join id=c2c67eb09282 l=[::1]:3000 r=[2001:818:df37:7000:38d1:e7dd:3e1a:7a98]:62479
t=2026-03-29T21:50:49+0100 lvl=info msg="join connections" obj=join id=9f771112a42a l=[::1]:3000 r=[2001:818:df37:7000:38d1:e7dd:3e1a:7a98]:62479
t=2026-03-29T21:50:49+0100 lvl=info msg="join connections" obj=join id=e74847eb5dd7 l=[::1]:3000 r=[2001:818:df37:7000:38d1:e7dd:3e1a:7a98]:62479
t=2026-03-29T21:50:49+0100 lvl=info msg="join connections" obj=join id=f81b5d2dcb13 l=[::1]:3000 r=[2001:818:df37:7000:38d1:e7dd:3e1a:7a98]:62479
t=2026-03-29T21:50:49+0100 lvl=info msg="join connections" obj=join id=d82b7723ef55 l=[::1]:3000 r=[2001:818:df37:7000:38d1:e7dd:3e1a:7a98]:62479
t=2026-03-29T21:50:49+0100 lvl=info msg="join connections" obj=join id=dfb51a8225c1 l=[::1]:3000 r=[2001:818:df37:7000:38d1:e7dd:3e1a:7a98]:62479
t=2026-03-29T21:50:49+0100 lvl=info msg="join connections" obj=join id=6d8edf712d2d l=[::1]:3000 r=[2001:818:df37:7000:38d1:e7dd:3e1a:7a98]:62479
t=2026-03-29T21:50:49+0100 lvl=info msg="join connections" obj=join id=c1fd4c19c971 l=[::1]:3000 r=[2001:818:df37:7000:38d1:e7dd:3e1a:7a98]:62479
t=2026-03-29T21:50:49+0100 lvl=info msg="join connections" obj=join id=450fe4d67fc6 l=[::1]:3000 r=[2001:818:df37:7000:38d1:e7dd:3e1a:7a98]:62479
t=2026-03-29T21:50:49+0100 lvl=info msg="join connections" obj=join id=66fa460e13e4 l=[::1]:3000 r=[2001:818:df37:7000:38d1:e7dd:3e1a:7a98]:62479
t=2026-03-29T21:50:49+0100 lvl=info msg="join connections" obj=join id=99079f93b0e2 l=[::1]:3000 r=[2001:818:df37:7000:38d1:e7dd:3e1a:7a98]:62479
t=2026-03-29T21:50:49+0100 lvl=info msg="join connections" obj=join id=7ed7018c6de8 l=[::1]:3000 r=[2001:818:df37:7000:38d1:e7dd:3e1a:7a98]:62479
t=2026-03-29T21:50:49+0100 lvl=info msg="join connections" obj=join id=e5db43d2dd01 l=[::1]:3000 r=[2001:818:df37:7000:38d1:e7dd:3e1a:7a98]:62479
t=2026-03-29T21:50:49+0100 lvl=info msg="join connections" obj=join id=458fa1c3c854 l=[::1]:3000 r=[2001:818:df37:7000:38d1:e7dd:3e1a:7a98]:62479
t=2026-03-29T21:50:49+0100 lvl=info msg="join connections" obj=join id=cda13c8f53a6 l=[::1]:3000 r=[2001:818:df37:7000:38d1:e7dd:3e1a:7a98]:62479
t=2026-03-29T21:50:49+0100 lvl=info msg="join connections" obj=join id=94b84ffb59bf l=[::1]:3000 r=[2001:818:df37:7000:38d1:e7dd:3e1a:7a98]:62479
t=2026-03-29T21:50:49+0100 lvl=info msg="join connections" obj=join id=c836a69488bd l=[::1]:3000 r=[2001:818:df37:7000:38d1:e7dd:3e1a:7a98]:62479
t=2026-03-29T21:50:49+0100 lvl=info msg="join connections" obj=join id=ffc0c467341a l=[::1]:3000 r=[2001:818:df37:7000:38d1:e7dd:3e1a:7a98]:62479
t=2026-03-29T21:50:49+0100 lvl=info msg="join connections" obj=join id=2e421d3c05fb l=[::1]:3000 r=[2001:818:df37:7000:38d1:e7dd:3e1a:7a98]:62479
t=2026-03-29T21:50:49+0100 lvl=info msg="join connections" obj=join id=c20262dc9dfe l=[::1]:3000 r=[2001:818:df37:7000:38d1:e7dd:3e1a:7a98]:62479
t=2026-03-29T21:50:49+0100 lvl=info msg="join connections" obj=join id=e0e5d4f64509 l=[::1]:3000 r=[2001:818:df37:7000:38d1:e7dd:3e1a:7a98]:62479
t=2026-03-29T21:50:49+0100 lvl=info msg="join connections" obj=join id=fdc7ef6ef0a1 l=[::1]:3000 r=[2001:818:df37:7000:38d1:e7dd:3e1a:7a98]:62479
t=2026-03-29T21:50:49+0100 lvl=info msg="join connections" obj=join id=2d76e356d34c l=[::1]:3000 r=[2001:818:df37:7000:38d1:e7dd:3e1a:7a98]:62479
t=2026-03-29T21:50:52+0100 lvl=info msg="join connections" obj=join id=512de244af90 l=[::1]:3000 r=[2001:818:df37:7000:38d1:e7dd:3e1a:7a98]:61362
t=2026-03-29T21:50:52+0100 lvl=info msg="join connections" obj=join id=95007a6507fc l=[::1]:3000 r=[2001:818:df37:7000:38d1:e7dd:3e1a:7a98]:62479
t=2026-03-29T21:51:08+0100 lvl=info msg="join connections" obj=join id=b7eab69bc629 l=[::1]:3000 r=[2001:818:df37:7000:38d1:e7dd:3e1a:7a98]:62479
t=2026-03-29T21:51:35+0100 lvl=info msg="join connections" obj=join id=be742c61195a l=[::1]:3000 r=[2001:818:df37:7000:38d1:e7dd:3e1a:7a98]:62479
t=2026-03-29T21:51:54+0100 lvl=info msg="join connections" obj=join id=30e45e7f7245 l=[::1]:3000 r=[2001:818:df37:7000:38d1:e7dd:3e1a:7a98]:62479
t=2026-03-29T21:51:54+0100 lvl=info msg="join connections" obj=join id=1d2d99be6034 l=[::1]:3000 r=[2001:818:df37:7000:38d1:e7dd:3e1a:7a98]:62479
t=2026-03-29T21:51:54+0100 lvl=info msg="join connections" obj=join id=531047f9bcdd l=[::1]:3000 r=[2001:818:df37:7000:38d1:e7dd:3e1a:7a98]:62479
t=2026-03-29T21:51:54+0100 lvl=info msg="join connections" obj=join id=6824e262ce9c l=[::1]:3000 r=[2001:818:df37:7000:38d1:e7dd:3e1a:7a98]:62479
t=2026-03-29T21:51:54+0100 lvl=info msg="join connections" obj=join id=2d34c54cf52f l=[::1]:3000 r=[2001:818:df37:7000:38d1:e7dd:3e1a:7a98]:62479
t=2026-03-29T21:51:54+0100 lvl=info msg="join connections" obj=join id=e7d96f0a4610 l=[::1]:3000 r=[2001:818:df37:7000:38d1:e7dd:3e1a:7a98]:62479
t=2026-03-29T21:51:54+0100 lvl=info msg="join connections" obj=join id=293aa3168c9f l=[::1]:3000 r=[2001:818:df37:7000:38d1:e7dd:3e1a:7a98]:62479
t=2026-03-29T21:51:54+0100 lvl=info msg="join connections" obj=join id=bf118834e155 l=[::1]:3000 r=[2001:818:df37:7000:38d1:e7dd:3e1a:7a98]:62479
t=2026-03-29T21:51:54+0100 lvl=info msg="join connections" obj=join id=44d799ba1702 l=[::1]:3000 r=[2001:818:df37:7000:38d1:e7dd:3e1a:7a98]:62479
t=2026-03-29T21:51:54+0100 lvl=info msg="join connections" obj=join id=38bfc3328711 l=[::1]:3000 r=[2001:818:df37:7000:38d1:e7dd:3e1a:7a98]:62479
t=2026-03-29T21:51:54+0100 lvl=info msg="join connections" obj=join id=358b6c4c8f38 l=[::1]:3000 r=[2001:818:df37:7000:38d1:e7dd:3e1a:7a98]:62479
t=2026-03-29T21:51:54+0100 lvl=info msg="join connections" obj=join id=8197314b896b l=[::1]:3000 r=[2001:818:df37:7000:38d1:e7dd:3e1a:7a98]:62479
t=2026-03-29T21:51:54+0100 lvl=info msg="join connections" obj=join id=8f0cf117be90 l=[::1]:3000 r=[2001:818:df37:7000:38d1:e7dd:3e1a:7a98]:62479
t=2026-03-29T21:51:54+0100 lvl=info msg="join connections" obj=join id=c1a8efdc1e16 l=[::1]:3000 r=[2001:818:df37:7000:38d1:e7dd:3e1a:7a98]:62479
t=2026-03-29T21:51:54+0100 lvl=info msg="join connections" obj=join id=2196550eb2ea l=[::1]:3000 r=[2001:818:df37:7000:38d1:e7dd:3e1a:7a98]:62479
t=2026-03-29T21:51:54+0100 lvl=info msg="join connections" obj=join id=88eb155d4315 l=[::1]:3000 r=[2001:818:df37:7000:38d1:e7dd:3e1a:7a98]:62479
t=2026-03-29T21:51:54+0100 lvl=info msg="join connections" obj=join id=8035a126904e l=[::1]:3000 r=[2001:818:df37:7000:38d1:e7dd:3e1a:7a98]:62479
t=2026-03-29T21:51:54+0100 lvl=info msg="join connections" obj=join id=6a358dff7d0e l=[::1]:3000 r=[2001:818:df37:7000:38d1:e7dd:3e1a:7a98]:62479
t=2026-03-29T21:51:54+0100 lvl=info msg="join connections" obj=join id=b0b8ecb02f12 l=[::1]:3000 r=[2001:818:df37:7000:38d1:e7dd:3e1a:7a98]:62479
t=2026-03-29T21:51:54+0100 lvl=info msg="join connections" obj=join id=67888ae586dd l=[::1]:3000 r=[2001:818:df37:7000:38d1:e7dd:3e1a:7a98]:62479
t=2026-03-29T21:51:54+0100 lvl=info msg="join connections" obj=join id=1941c3007b35 l=[::1]:3000 r=[2001:818:df37:7000:38d1:e7dd:3e1a:7a98]:62479
t=2026-03-29T21:51:54+0100 lvl=info msg="join connections" obj=join id=899f752d0111 l=[::1]:3000 r=[2001:818:df37:7000:38d1:e7dd:3e1a:7a98]:62479
t=2026-03-29T21:51:54+0100 lvl=info msg="join connections" obj=join id=31c9f6a8d269 l=[::1]:3000 r=[2001:818:df37:7000:38d1:e7dd:3e1a:7a98]:62479
t=2026-03-29T21:51:54+0100 lvl=info msg="join connections" obj=join id=5863f9adbec4 l=[::1]:3000 r=[2001:818:df37:7000:38d1:e7dd:3e1a:7a98]:62479
t=2026-03-29T21:51:54+0100 lvl=info msg="join connections" obj=join id=42d904e68d92 l=[::1]:3000 r=[2001:818:df37:7000:38d1:e7dd:3e1a:7a98]:62479
t=2026-03-29T21:51:54+0100 lvl=info msg="join connections" obj=join id=34c70c72e617 l=[::1]:3000 r=[2001:818:df37:7000:38d1:e7dd:3e1a:7a98]:62479
t=2026-03-29T21:51:54+0100 lvl=info msg="join connections" obj=join id=395ec04b0ee2 l=[::1]:3000 r=[2001:818:df37:7000:38d1:e7dd:3e1a:7a98]:62479
t=2026-03-29T21:51:54+0100 lvl=info msg="join connections" obj=join id=45e3409c77a0 l=[::1]:3000 r=[2001:818:df37:7000:38d1:e7dd:3e1a:7a98]:62479
t=2026-03-29T21:51:54+0100 lvl=info msg="join connections" obj=join id=e9353fb8c9e1 l=[::1]:3000 r=[2001:818:df37:7000:38d1:e7dd:3e1a:7a98]:62479
t=2026-03-29T21:51:56+0100 lvl=info msg="join connections" obj=join id=3ff96098c43f l=[::1]:3000 r=[2001:818:df37:7000:38d1:e7dd:3e1a:7a98]:64953
t=2026-03-29T21:51:56+0100 lvl=info msg="join connections" obj=join id=cbe13cd50a9f l=[::1]:3000 r=[2001:818:df37:7000:38d1:e7dd:3e1a:7a98]:62479
t=2026-03-29T21:52:43+0100 lvl=info msg="join connections" obj=join id=b524f3522cb6 l=[::1]:3000 r=[2001:818:df37:7000:fb3c:58dc:2637:275f]:62706
t=2026-03-29T21:52:43+0100 lvl=eror msg="session closed, starting reconnect loop" obj=tunnels.session obj=csess id=2b34251a894f err="read EOF from remote peer"
t=2026-03-29T21:52:43+0100 lvl=eror msg="heartbeat timeout, terminating session" obj=tunnels.session obj=csess id=122540053792 clientid=9c26cc64e9c073f2a5f205615b6bb064
t=2026-03-29T21:52:44+0100 lvl=info msg="client session established" obj=tunnels.session
t=2026-03-29T21:52:44+0100 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-03-29T21:52:49+0100 lvl=info msg="join connections" obj=join id=383399f92da3 l=[::1]:3000 r=[2001:818:df37:7000:fb3c:58dc:2637:275f]:64472
t=2026-03-29T21:52:49+0100 lvl=info msg="join connections" obj=join id=0f61aa32cb30 l=[::1]:3000 r=[2001:818:df37:7000:fb3c:58dc:2637:275f]:64472
t=2026-03-29T21:52:49+0100 lvl=info msg="join connections" obj=join id=89a8f438be56 l=[::1]:3000 r=[2001:818:df37:7000:fb3c:58dc:2637:275f]:64472
t=2026-03-29T21:52:49+0100 lvl=info msg="join connections" obj=join id=27e0070cf0fc l=[::1]:3000 r=[2001:818:df37:7000:fb3c:58dc:2637:275f]:64472
t=2026-03-29T21:52:49+0100 lvl=info msg="join connections" obj=join id=5006d3997395 l=[::1]:3000 r=[2001:818:df37:7000:fb3c:58dc:2637:275f]:64472
t=2026-03-29T21:52:49+0100 lvl=info msg="join connections" obj=join id=1905fc48a279 l=[::1]:3000 r=[2001:818:df37:7000:fb3c:58dc:2637:275f]:64472
t=2026-03-29T21:52:49+0100 lvl=info msg="join connections" obj=join id=f6b244cf6e1e l=[::1]:3000 r=[2001:818:df37:7000:fb3c:58dc:2637:275f]:64472
t=2026-03-29T21:52:49+0100 lvl=info msg="join connections" obj=join id=f59204d2f08d l=[::1]:3000 r=[2001:818:df37:7000:fb3c:58dc:2637:275f]:64472
t=2026-03-29T21:52:49+0100 lvl=info msg="join connections" obj=join id=956962146409 l=[::1]:3000 r=[2001:818:df37:7000:fb3c:58dc:2637:275f]:64472
t=2026-03-29T21:52:49+0100 lvl=info msg="join connections" obj=join id=031983523e0c l=[::1]:3000 r=[2001:818:df37:7000:fb3c:58dc:2637:275f]:64472
t=2026-03-29T21:52:49+0100 lvl=info msg="join connections" obj=join id=157b70a5d8a6 l=[::1]:3000 r=[2001:818:df37:7000:fb3c:58dc:2637:275f]:64472
t=2026-03-29T21:52:49+0100 lvl=info msg="join connections" obj=join id=c779109b73bc l=[::1]:3000 r=[2001:818:df37:7000:fb3c:58dc:2637:275f]:64472
t=2026-03-29T21:52:49+0100 lvl=info msg="join connections" obj=join id=bc1480be64fb l=[::1]:3000 r=[2001:818:df37:7000:fb3c:58dc:2637:275f]:64472
t=2026-03-29T21:52:49+0100 lvl=info msg="join connections" obj=join id=ab5fa68c2a1a l=[::1]:3000 r=[2001:818:df37:7000:fb3c:58dc:2637:275f]:64472
t=2026-03-29T21:52:49+0100 lvl=info msg="join connections" obj=join id=a5989846e761 l=[::1]:3000 r=[2001:818:df37:7000:fb3c:58dc:2637:275f]:64472
t=2026-03-29T21:52:49+0100 lvl=info msg="join connections" obj=join id=1f3c625364a5 l=[::1]:3000 r=[2001:818:df37:7000:fb3c:58dc:2637:275f]:64472
t=2026-03-29T21:52:49+0100 lvl=info msg="join connections" obj=join id=ec84aab69480 l=[::1]:3000 r=[2001:818:df37:7000:fb3c:58dc:2637:275f]:64472
t=2026-03-29T21:52:49+0100 lvl=info msg="join connections" obj=join id=27903452e531 l=[::1]:3000 r=[2001:818:df37:7000:fb3c:58dc:2637:275f]:64472
t=2026-03-29T21:52:49+0100 lvl=info msg="join connections" obj=join id=e052f89da8b3 l=[::1]:3000 r=[2001:818:df37:7000:fb3c:58dc:2637:275f]:64472
t=2026-03-29T21:52:49+0100 lvl=info msg="join connections" obj=join id=22d0d34ab332 l=[::1]:3000 r=[2001:818:df37:7000:fb3c:58dc:2637:275f]:64472
t=2026-03-29T21:52:49+0100 lvl=info msg="join connections" obj=join id=420d0dcc994a l=[::1]:3000 r=[2001:818:df37:7000:fb3c:58dc:2637:275f]:64472
t=2026-03-29T21:52:49+0100 lvl=info msg="join connections" obj=join id=baa1df93f60e l=[::1]:3000 r=[2001:818:df37:7000:fb3c:58dc:2637:275f]:64472
t=2026-03-29T21:52:49+0100 lvl=info msg="join connections" obj=join id=a037ef3f7414 l=[::1]:3000 r=[2001:818:df37:7000:fb3c:58dc:2637:275f]:64472
t=2026-03-29T21:52:49+0100 lvl=info msg="join connections" obj=join id=912f4fb609e6 l=[::1]:3000 r=[2001:818:df37:7000:fb3c:58dc:2637:275f]:64472
t=2026-03-29T21:52:49+0100 lvl=info msg="join connections" obj=join id=cba68697af71 l=[::1]:3000 r=[2001:818:df37:7000:fb3c:58dc:2637:275f]:64472
